StepSize,Alpha,Energy
1,0.05555555555555555,47.68280498051903
1,0.1111111111111111,23.913509807270774
1,0.16666666666666666,16.659111301547565
1,0.2222222222222222,13.487676677450535
1,0.2777777777777778,11.830517651971295
1,0.3333333333333333,10.705036622052695
1,0.3888888888888889,10.346160707105927
1,0.4444444444444444,10.052154869993945
1,0.5,10.0001
1,0.5555555555555556,10.063502114440448
1,0.6111111111111112,10.202397186549637
1,0.6666666666666666,10.388652271364196
1,0.7222222222222222,10.646790939596112
1,0.7777777777777778,10.945442960056022
1,0.8333333333333334,11.250039949549343
1,0.8888888888888888,11.632575463088846
1,0.9444444444444444,12.167942218903478
1,1,12.334856728147608
