StepSize,Alpha,Energy
0.125,0.05555555555555555,58.520835925297334
0.125,0.1111111111111111,40.4276920100385
0.125,0.16666666666666666,21.13132963657016
0.125,0.2222222222222222,20.417214655379226
0.125,0.2777777777777778,17.829039321155985
0.125,0.3333333333333333,15.144640883061953
0.125,0.3888888888888889,15.207774768655613
0.125,0.4444444444444444,14.98246379928433
0.125,0.5,15.00015
0.125,0.5555555555555556,15.044506691870021
0.125,0.6111111111111112,15.36234614279037
0.125,0.6666666666666666,15.566886179338171
0.125,0.7222222222222222,15.715783007341157
0.125,0.7777777777777778,16.61002998987859
0.125,0.8333333333333334,17.71928601769582
0.125,0.8888888888888888,17.331490935332926
0.125,0.9444444444444444,18.572599246672976
0.125,1,19.255468343855114
